1514824.503, 12535249, 12566283, -11889, 17295, 0.32196045, -0.59661865, -0.6218262, 0.39208984, -1.3428699, 1.0631052, 0.50357616, -0.66015625, -10.003906, 1.21875, 0, 1
1514827.496, 12536264, 12559246, -2063, 13384, 0.32196045, -0.5967407, -0.6218262, 0.3920288, -1.5107286, 1.1750112, 0.0, -0.66015625, -10.003906, 1.21875, 0, 1
1514830.493, 12538584, 12565279, 2757, 16008, 0.32196045, -0.5967407, -0.62176514, 0.39196777, -1.2309641, 1.1750112, -0.27976456, -0.66015625, -10.003906, 1.21875, 0, 1
1514833.5, 12546745, 12567024, 7504, 5644, 0.32196045, -0.5967407, -0.62176514, 0.39196777, -1.2309641, 1.1750112, -0.27976456, -0.66015625, -10.003906, 1.21875, 0, 1
1514836.498, 12537375, 12545467, -3855, -15893, 0.32196045, -0.59680176, -0.62176514, 0.39190674, -1.0631052, 0.83929366, -0.72738785, -0.66015625, -10.003906, 1.21875, 0, 1
1514839.554, 12544638, 12558423, 5620, 3491, 0.32196045, -0.59680176, -0.62176514, 0.39190674, -1.0631052, 0.83929366, -0.72738785, -0.66015625, -10.003906, 1.21875, 0, 1
1514842.49, 12542374, 12576748, 578, 18261, 0.32202148, -0.59680176, -0.62176514, 0.3918457, -0.78334075, 0.16785873, -1.286917, -0.66015625, -10.003906, 1.21875, 0, 1
1514845.524, 12548220, 12561915, 8054, -3722, 0.32208252, -0.59680176, -0.6218262, 0.3918457, -0.61548203, 0.05595291, -1.2309641, -0.66015625, -10.003906, 1.21875, 0, 1
1514848.493, 12554392, 12599179, 11002, 21669, 0.32208252, -0.59680176, -0.6218262, 0.3918457, -0.61548203, 0.05595291, -1.2309641, -0.8515625, -9.9296875, 1.296875, 0, 1
1514851.482, 12532943, 12551215, -15346, -36577, 0.32208252, -0.59680176, -0.6218262, 0.39178467, -0.22381164, 0.22381164, -0.83929366, -0.8515625, -9.9296875, 1.296875, 0, 1
1514854.483, 12537761, 12544402, 765, -32772, 0.32208252, -0.59680176, -0.6218262, 0.39178467, -0.22381164, 0.22381164, -0.83929366, -0.8515625, -9.9296875, 1.296875, 0, 1
1514857.489, 12540123, 12554475, 4619, -3728, 0.32208252, -0.59680176, -0.6218262, 0.39178467, 0.22381164, -0.05595291, -1.0071523, -0.8515625, -9.9296875, 1.296875, 0, 1
1514860.482, 12539932, 12560285, 3639, 7407, 0.32214355, -0.5967407, -0.6218262, 0.39178467, 0.78334075, -1.2309641, -0.89524657, -0.8515625, -9.9296875, 1.296875, 0, 1
1514863.475, 12544670, 12573507, 5449, 17109, 0.32214355, -0.5967407, -0.6218262, 0.39178467, 0.78334075, -1.2309641, -0.89524657, -0.8515625, -9.9296875, 1.296875, 0, 1
1514866.48, 12553492, 12583961, 6939, 21954, 0.32214355, -0.5966797, -0.6218872, 0.39178467, 1.0071523, -0.50357616, -0.89524657, -0.8515625, -9.9296875, 1.296875, 0, 1
1514869.509, 12545948, 12576509, -7171, 70, 0.32214355, -0.5966797, -0.6218872, 0.39178467, 1.0071523, -0.50357616, -0.89524657, -0.8515625, -9.9296875, 1.296875, 0, 1
1514872.477, 12525421, 12535321, -17837, -35305, 0.3222046, -0.59661865, -0.6218872, 0.39178467, 1.1750112, -0.44762328, -0.27976456, -0.8515625, -9.9296875, 1.296875, 0, 1
